	item_id	book_instance	reports_policy_legislation_and_technical_documentation_instance	databases_instance	academic_scientific	news_media_sources	wiki	category	Item label	Item ID	Weighted ORES Score
9960	Q4100648	4	0	0	0	0	0	human	Dorothy Walker Bush	Q4100648	3.75
9961	Q4100677	0	0	8	0	0	0	human		Q4100677	2.94
9962	Q4100691	0	0	6	0	0	0	human	Mikhail Bushnov	Q4100691	2.99
9963	Q4100695	0	0	11	0	0	0	human		Q4100695	1.38
9964	Q4100788	0	0	4	0	0	0	human		Q4100788	1.59
9965	Q4100790	1	0	6	0	0	0	human	Bhakti Prajnana Kesava Goswami	Q4100790	2.99
9966	Q4100808	3	0	5	0	1	1	human	Ruby Bhatia	Q4100808	3.57
9967	Q4100841	0	0	8	0	0	0	human		Q4100841	1.57
9968	Q4100881	2	0	8	0	0	2	human	Zlata Bizova	Q4100881	3.64
9969	Q4100899	0	0	11	0	0	1	human	Nikolay Bykasov	Q4100899	2.98
9970	Q4100935	0	0	5	0	0	0	human	Ivan Bykov	Q4100935	3.02
9971	Q4100941	0	0	12	0	0	5	human	Mikhail Bykov	Q4100941	2.99
9972	Q4100952	0	0	6	0	0	0	human	Sergey Bykov	Q4100952	2.24
9973	Q4100954	2	0	10	0	0	0	human	Yury Mikhaylovich Bykov	Q4100954	3.31
9974	Q4100961	0	0	12	0	0	0	human	Irina Bykova	Q4100961	2.95
9975	Q4101045	7	0	15	0	0	2	human	Michał Bylina	Q4101045	3.97
9976	Q4101075	0	0	7	0	0	0	human		Q4101075	1.34
9977	Q4101161	4	0	8	0	0	0	human	Grigory Bystrov	Q4101161	2.98
9978	Q4101222	0	0	8	0	0	0	human		Q4101222	2.13
9979	Q4101270	9	0	14	0	0	0	human	Boris Evseevitch Bychowsky	Q4101270	3.11
9980	Q4101277	0	0	8	0	0	0	human	Valery Bychenkov	Q4101277	3.03
9981	Q4101297	0	0	8	0	0	4	human	Andrey Bychkov	Q4101297	2.99
9982	Q4101303	0	0	8	0	0	0	human	Vladimir Bychkov	Q4101303	2.19
9983	Q4101307	0	0	8	0	0	0	human	Nikolay Bychkov	Q4101307	1.3
9984	Q4101319	0	0	3	0	0	0	human	Marina Bychkova	Q4101319	2.04
9985	Q4101326	0	0	9	0	0	1	human	Oleg Bychkovskiy	Q4101326	2.96
9986	Q4101347	5	0	0	0	0	2	human	Bienheuré	Q4101347	2.98
