	item_id	book_instance	reports_policy_legislation_and_technical_documentation_instance	databases_instance	academic_scientific	news_media_sources	wiki	category	Item label	Item ID	Weighted ORES Score
0	Q1044	222	90	327	0	0	6	country	Sierra Leone	Q1044	4.93
1	Q1048340	0	0	7	0	0	2	country	Kingdom of Albania	Q1048340	3.55
2	Q1048918	1	0	1	0	0	2	disputed_territory	Kingdom of the Suebi	Q1048918	3.18
3	Q1049	54	87	324	18	0	15	country	Sudan	Q1049	4.94
4	Q1072140	2	0	2	0	0	5	disputed_territory	Roman Republic	Q1072140	3.42
5	Q108266	4	0	12	0	0	14	country	Navajo	Q108266	3.9
6	Q11117817	0	1	0	0	0	0	country	Madhesi tribe	Q11117817	2.0
7	Q1133272	1	0	0	0	0	0	disputed_territory	Shebaa farms	Q1133272	3.07
8	Q1155700	0	0	3	0	0	3	country	Rattanakosin Kingdom	Q1155700	3.05
9	Q12035643	0	0	0	0	0	0	country	kingdom of Maroboduus	Q12035643	1.99
10	Q1206012	8	0	0	0	0	5	country	German Reich	Q1206012	3.69
11	Q12544	4	0	18	6	0	8	country	Byzantine Empire	Q12544	4.92
12	Q12560	12	0	24	4	0	14	country	Ottoman Empire	Q12560	4.91
13	Q127861	6	0	18	0	0	2	country	Khedivate of Egypt	Q127861	3.43
14	Q12984995	0	0	0	0	0	0	country		Q12984995	1.02
15	Q1322424	4	0	0	0	0	3	disputed_territory	Maakhir	Q1322424	3.0
16	Q1361989	0	0	2	0	0	2	country	First Philippine Republic	Q1361989	3.1
17	Q1381504	0	0	0	0	0	0	disputed_territory	Provisional Priamurye Government	Q1381504	3.04
18	Q141646	0	0	0	0	0	0	country	Snoqualmie Indian Tribe	Q141646	2.98
19	Q14682998	0	0	0	0	0	0	country	La Jolla Band of Luiseño Indians	Q14682998	2.09
20	Q14715170	1	0	0	0	0	0	country	Aroostook Band of Micmac	Q14715170	2.02
21	Q148	60	177	381	6	3	15	country	People's Republic of China	Q148	4.83
22	Q148	60	177	381	6	3	15	disputed_territory	People's Republic of China	Q148	4.83
23	Q15119951	0	0	0	0	0	0	disputed_territory		Q15119951	2.02
24	Q15127142	0	0	1	0	0	0	disputed_territory	Republic of Bobbio	Q15127142	1.3
25	Q1516298	0	3	0	0	0	0	country	Tulalip Tribes of Washington	Q1516298	3.81
26	Q15211471	1	0	0	0	0	0	country	Confederated Tribes of the Chehalis Reservation	Q15211471	3.0
27	Q155	18	18	39	0	0	6	country	Brazil	Q155	4.95
28	Q15708442	0	0	0	0	0	0	country	Kongu Country Forest	Q15708442	1.02
29	Q157109	0	0	0	0	0	0	country	Burgundian Netherlands	Q157109	3.04
30	Q157367	2	0	8	0	0	6	country	Brandenburg-Prussia	Q157367	3.38
31	Q15903902	1	0	0	0	0	0	disputed_territory	Da Ming Shun Tian Guo	Q15903902	2.17
32	Q16708974	0	0	0	0	0	0	country		Q16708974	1.98
33	Q170588	16	0	14	0	0	8	country	Republic of Texas	Q170588	3.26
34	Q172107	6	0	22	0	0	22	country	Polish–Lithuanian Commonwealth	Q172107	4.29
35	Q1754503	1	0	0	0	0	0	country	Quechan people	Q1754503	3.01
36	Q176495	0	0	2	0	0	2	country	Federal State of Austria	Q176495	3.14
37	Q1783866	0	0	0	0	0	0	country	Kopane	Q1783866	2.22
38	Q178469	12	0	32	0	0	16	disputed_territory	Biafra	Q178469	4.18
39	Q178913	2	0	14	0	0	8	country	Empire of Trebizond	Q178913	3.89
40	Q1794655	0	0	0	0	0	0	disputed_territory	Kutai	Q1794655	2.94
41	Q18097	6	0	2	0	0	4	country	Korea	Q18097	4.2
42	Q1811029	0	0	3	0	0	1	disputed_territory	Finnish Socialist Workers' Republic	Q1811029	3.01
43	Q183	78	3	51	3	3	15	country	Germany	Q183	4.87
44	Q1852345	0	0	5	0	0	2	country	Trucial States	Q1852345	3.24
45	Q1853386	0	0	0	0	0	0	disputed_territory	Mangkunegaran	Q1853386	2.93
